provID,GRADE,SEX,GETHNCC1,OMARKSA1,DVTY1ST,DVSELF,BMI
59,7,2,1,2,3,11,99
59,6,2,1,3,3,9,22.18
59,7,1,1,3,3,7,99
59,6,1,1,1,3,10,11.72
59,7,2,1,2,3,9,99
59,6,2,1,2,3,7,99
59,6,2,1,2,3,9,99
59,7,2,1,2,3,11,99
59,7,2,1,3,3,11,99
59,7,2,1,2,3,10,99
59,7,1,1,2,3,9,15.87
59,7,1,1,1,3,10,99
59,6,2,1,3,3,11,99
59,6,2,1,1,3,9,99
59,6,1,1,2,3,11,99
59,6,2,1,4,3,8,99
59,6,2,1,1,3,10,99
59,7,1,1,1,3,9,99
59,7,1,1,1,3,11,99
59,6,1,1,3,3,8,99
59,7,1,1,1,3,7,16.72
59,7,1,1,99,3,12,20.57
59,6,1,1,3,3,9,99
59,7,2,1,2,3,10,99
59,6,2,1,3,3,9,99
59,7,2,1,3,3,11,99
59,7,1,1,2,3,11,15.8
59,6,2,1,2,3,10,99
59,7,2,1,2,3,12,99
59,6,2,1,3,3,10,20.96
59,7,2,1,3,3,9,20.5
59,7,2,1,2,3,12,99
59,7,2,1,3,3,12,17.86
59,6,2,1,2,3,11,17.74
59,7,2,1,3,3,8,17.89
59,7,2,1,2,3,10,16.35
59,6,1,1,2,3,12,99
59,7,1,1,1,3,12,14.27
59,7,2,1,1,3,12,19.74
59,7,2,1,3,3,11,99
59,6,1,1,2,3,9,13.79
59,6,2,1,3,3,11,15.75
59,7,1,1,2,3,10,15.62
59,7,1,1,1,3,12,17.95
59,7,1,1,1,3,11,16.77
59,7,2,1,2,3,10,16.45
59,7,2,1,2,3,7,16.44
59,6,1,1,3,3,10,99
59,6,2,1,3,3,3,99
